Monthly_Avg_Temp,Monthly_Avg_Humidity,Rainfall_mm,timestamp,data_source
19.71,64.53,0.0,2025-11-29 01:08:15,Open-Meteo Weather API
19.71,64.53,0.0,119.3,2025-11-29 01:27:10,Open-Meteo Weather API
19.71,64.53,0.0,119.3,2025-11-29 01:29:07,Open-Meteo Weather API
19.71,64.53,0.0,119.3,2025-11-29 02:29:36,Open-Meteo Weather API
19.71,64.53,0.0,119.3,2025-11-29 02:58:02,Open-Meteo Weather API
19.68,64.56,0.0,119.3,2025-11-29 07:49:39,Open-Meteo Weather API
19.68,64.56,0.0,119.3,2025-11-29 07:49:54,Open-Meteo Weather API
19.68,64.56,0.0,119.3,2025-11-29 07:50:10,Open-Meteo Weather API
19.68,64.56,0.0,119.3,2025-11-29 07:50:27,Open-Meteo Weather API
19.68,64.56,0.0,119.3,2025-11-29 07:57:02,Open-Meteo Weather API
19.68,64.56,0.0,119.3,2025-11-29 08:41:49,Open-Meteo Weather API
19.68,64.56,0.0,119.3,2025-11-29 08:57:09,Open-Meteo Weather API
19.68,64.56,0.0,119.3,2025-11-29 09:06:15,Open-Meteo Weather API
19.68,64.56,0.0,119.3,2025-11-29 09:25:19,Open-Meteo Weather API
19.68,64.56,0.0,119.3,2025-11-29 09:29:21,Open-Meteo Weather API
19.68,64.56,0.0,119.3,2025-11-29 09:34:30,Open-Meteo Weather API
19.68,64.56,0.0,119.3,2025-11-29 09:38:57,Open-Meteo Weather API
19.68,64.62,0.0,119.3,2025-11-29 09:40:11,Open-Meteo Weather API
19.68,64.62,0.0,119.3,2025-11-29 09:41:19,Open-Meteo Weather API
19.68,64.62,0.0,119.3,2025-11-29 09:44:21,Open-Meteo Weather API
19.68,64.62,0.0,119.3,2025-11-29 09:49:26,Open-Meteo Weather API
19.68,64.62,0.0,119.3,2025-11-29 09:50:41,Open-Meteo Weather API
19.68,64.62,0.0,119.3,2025-11-29 10:04:39,Open-Meteo Weather API
19.68,64.62,0.0,119.3,2025-11-29 10:44:17,Open-Meteo Weather API
19.68,64.62,0.0,119.3,2025-11-29 10:47:03,Open-Meteo Weather API
19.68,64.62,0.0,119.3,2025-11-29 10:55:36,Open-Meteo Weather API
19.68,64.62,0.0,119.3,2025-11-29 11:07:37,Open-Meteo Weather API
19.68,64.62,0.0,119.3,2025-11-29 11:21:44,Open-Meteo Weather API
19.68,64.62,0.0,119.3,2025-11-29 11:33:44,Open-Meteo Weather API
